## [iView]
## Converted from:	I:\pp23671_rest1.idf
## Date:	01.01.2019 16:59:56
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	50
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	30443                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pp23671
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(448;512)
## Calibration Point 1:	Position(832;512)
## Calibration Point 2:	Position(256;204)
## Calibration Point 3:	Position(1024;204)
## Calibration Point 4:	Position(256;819)
## Calibration Point 5:	Position(1024;819)
## Calibration Point 6:	Position(640;204)
## Calibration Point 7:	Position(640;819)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVIEW
## Operating System :	5.1
## iView X Version:	2.4.33
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Pupil Confidence	Trigger	Frame	Aux1
35119569257	SMP	1	136.93	167.60	19.42	19.80	170.27	173.02	0.00	0.00	0	0	0		
35119589222	SMP	1	136.85	167.58	18.58	20.58	170.45	172.93	0.00	0.00	0	0	0		
35119609256	SMP	1	136.84	167.60	19.60	20.67	170.76	173.09	0.00	0.00	0	0	0		
35119629223	SMP	1	137.04	167.77	18.58	19.75	170.76	173.32	0.00	0.00	0	0	0		
35119649252	SMP	1	137.04	167.90	20.37	20.63	170.85	174.17	0.00	0.00	0	0	0		
35119669219	SMP	1	136.90	167.87	19.52	21.41	170.91	173.21	0.00	0.00	0	0	0		
35119689250	SMP	1	136.79	167.70	19.51	20.60	170.68	173.17	0.00	0.00	0	0	0		
35119709220	SMP	1	136.94	167.43	19.63	19.71	170.54	172.91	0.00	0.00	0	0	0		
35119729252	SMP	1	136.71	167.17	19.66	21.47	170.51	172.72	0.00	0.00	0	0	0		
35119749221	SMP	1	136.78	167.00	19.40	19.68	170.84	172.36	0.00	0.00	0	0	0		
35119769249	SMP	1	136.78	166.97	19.70	20.57	170.25	172.28	0.00	0.00	0	0	0		
35119789218	SMP	1	136.80	167.09	19.54	19.72	170.52	172.30	0.00	0.00	0	0	0		
35119809252	SMP	1	136.72	167.09	19.45	20.63	170.53	172.27	0.00	0.00	0	0	0		
35119829219	SMP	1	136.70	167.01	19.55	21.54	170.19	172.28	0.00	0.00	0	0	0		
35119849251	SMP	1	136.83	166.97	19.55	20.58	170.54	172.27	0.00	0.00	0	0	0		
35119869209	SMP	1	136.76	166.86	19.53	20.72	170.97	172.42	0.00	0.00	0	0	0		
35119889247	SMP	1	136.87	166.75	19.43	20.70	170.62	172.39	0.00	0.00	0	0	0		
35119909218	SMP	1	136.74	166.74	19.53	20.60	170.52	172.23	0.00	0.00	0	0	0		
35119929249	SMP	1	136.96	166.72	20.28	20.70	171.08	172.46	0.00	0.00	0	0	0		
35119949215	SMP	1	136.81	166.90	19.61	20.66	171.00	172.60	0.00	0.00	0	0	0		
35119969246	SMP	1	136.95	167.20	20.41	21.48	170.55	172.66	0.00	0.00	0	0	0		
35119989214	SMP	1	136.85	167.32	20.37	20.74	170.51	172.77	0.00	0.00	0	0	0		
35120009248	SMP	1	136.95	167.32	20.38	20.63	170.86	172.88	0.00	0.00	0	0	0		
35120029215	SMP	1	136.71	167.21	19.48	20.67	170.28	171.81	0.00	0.00	0	0	0		
35120049243	SMP	1	136.88	167.00	21.25	20.63	170.80	172.54	0.00	0.00	0	0	0		
35120069214	SMP	1	136.82	166.78	20.18	20.67	170.51	171.51	0.00	0.00	0	0	0		
35120089245	SMP	1	136.98	166.46	20.43	20.56	170.63	172.01	0.00	0.00	0	0	0		
35120109210	SMP	1	137.02	166.22	20.53	20.71	170.67	171.58	0.00	0.00	0	0	0		
35120129241	SMP	1	136.79	166.05	19.48	20.61	170.73	172.18	0.00	0.00	0	0	0		
35120149210	SMP	1	136.85	166.09	20.35	20.67	170.59	171.28	0.00	0.00	0	0	0		
35120169240	SMP	1	136.80	166.21	19.83	20.59	170.74	171.39	0.00	0.00	0	0	0		
35120189208	SMP	1	136.95	166.26	20.40	20.64	170.54	171.50	0.00	0.00	0	0	0		
35120209241	SMP	1	136.94	166.51	20.38	20.60	170.71	171.68	0.00	0.00	0	0	0		
35120229209	SMP	1	136.89	166.62	20.42	20.58	170.66	171.95	0.00	0.00	0	0	0		
35120249242	SMP	1	136.88	166.65	20.26	20.69	170.79	172.49	0.00	0.00	0	0	0		
35120269206	SMP	1	136.85	166.83	19.55	19.77	170.71	172.66	0.00	0.00	0	0	0		
35120289239	SMP	1	136.63	166.93	19.48	20.73	170.65	172.71	0.00	0.00	0	0	0		
35120309206	SMP	1	136.85	166.88	19.42	19.64	171.01	171.72	0.00	0.00	0	0	0		
35120329241	SMP	1	136.70	166.82	19.63	20.63	170.89	172.97	0.00	0.00	0	0	0		
35120349205	SMP	1	136.67	166.65	19.54	20.67	170.60	172.62	0.00	0.00	0	0	0		
35120369231	SMP	1	136.75	166.53	19.52	19.71	170.76	172.49	0.00	0.00	0	0	0		
35120389205	SMP	1	136.61	166.47	19.45	20.66	170.71	172.42	0.00	0.00	0	0	0		
35120409236	SMP	1	136.61	166.42	19.44	19.74	170.59	172.19	0.00	0.00	0	0	0		
35120429206	SMP	1	136.71	166.51	19.91	20.59	170.83	172.35	0.00	0.00	0	0	0		
35120449238	SMP	1	136.57	166.55	19.56	19.66	170.59	172.36	0.00	0.00	0	0	0		
35120469198	SMP	1	136.77	166.59	19.75	20.63	170.73	172.36	0.00	0.00	0	0	0		
35120489237	SMP	1	136.70	166.61	19.39	19.63	170.86	172.56	0.00	0.00	0	0	0		
35120509201	SMP	1	136.71	166.56	19.78	20.61	170.89	171.36	0.00	0.00	0	0	0		
35120529234	SMP	1	137.03	166.49	19.41	19.64	170.48	172.52	0.00	0.00	0	0	0		
